NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
AIRPORT JFK,31 COMMERCIAL VACANT LAND,4,14260,80,E1,0,1,1,"268,092",0,2023,4,V7,0,10/25/2023
AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,25,A5,1,0,1,"1,800","1,224",1945,1,A5,"780,000",7/28/2023
AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,27,A5,1,0,1,"1,800","1,224",1945,1,A5,"820,000",6/15/2023
AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,38,A5,1,0,1,"1,800","1,224",1945,1,A5,0,5/23/2023
AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,41,A5,1,0,1,"1,800","1,224",1945,1,A5,"725,000",10/16/2023
AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,43,A5,1,0,1,"1,800","1,224",1945,1,A5,"820,000",5/26/2023
AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,41,A5,1,0,1,"1,800","1,224",1950,1,A5,0,3/15/2023
AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1013,R2,1,,1,,,,2,R2,"575,311",11/28/2023
AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1021,R2,1,,1,,,,2,R2,"529,000",8/29/2023
AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1032,R2,1,,1,,,,2,R2,"400,000",3/27/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,A6,1,0,1,"1,594",482,1920,1,A6,0,1/30/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,49,A6,1,0,1,"5,137","1,044",1920,1,A6,"725,000",7/28/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,27,A2,1,0,1,"3,804","2,304",1925,1,A2,"630,000",8/31/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,64,A2,1,0,1,"2,853","2,080",1920,1,A2,"490,000",5/24/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15905,17,A5,1,0,1,"3,995","3,084",2014,1,A5,"1,200,000",5/10/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15905,185,A5,1,0,1,"3,045","2,515",2014,1,A5,0,3/30/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15908,16,A0,1,0,1,"4,000","1,020",1950,1,A0,"570,650",11/15/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15931,57,A5,1,0,1,"2,576","1,242",1975,1,A5,"290,000",7/7/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15952,55,A9,1,0,1,"4,600","2,200",1910,1,A9,"630,000",2/23/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1B,15954,10,V0,0,0,0,"3,000",0,2003,1,A1,"135,000",7/18/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15965,92,A2,1,0,1,"2,512",960,1910,1,A2,100,3/15/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15965,92,A2,1,0,1,"2,512",960,1910,1,A2,"243,360",5/10/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15966,13,A2,1,0,1,"1,825","1,740",1930,1,A2,0,2/24/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15966,13,A2,1,0,1,"1,825","1,740",1930,1,A2,"468,300",7/14/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,17,A5,1,0,1,"2,095",960,1940,1,A5,"515,000",1/27/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,67,A2,1,0,1,"2,378",635,1940,1,A2,"484,000",9/28/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16025,3,A2,1,0,1,"3,500","1,155",1925,1,A2,0,12/5/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,54,A2,1,0,1,"2,125","1,428",1960,1,A2,"431,779",2/21/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,54,A2,1,0,1,"2,125","1,428",1960,1,A2,"342,000",10/27/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16029,7,A9,1,0,1,"2,725","1,344",1960,1,A9,0,2/23/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16033,3,A2,1,0,1,"4,000","1,015",1930,1,A2,"351,354",10/10/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16033,15,A2,1,0,1,"4,000","1,483",1940,1,A2,"380,000",10/13/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16035,43,A5,1,0,1,"1,500","1,500",2004,1,A5,"553,000",9/19/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16037,36,A9,1,0,1,"2,550","2,016",1940,1,A9,"690,000",6/26/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,46,A9,1,0,1,"2,250","1,530",1960,1,A9,0,10/5/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,56,A9,1,0,1,"2,250","1,530",1960,1,A9,0,6/6/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16047,45,A1,1,0,1,"2,000","2,176",1920,1,A1,"525,000",2/22/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16048,27,A1,1,0,1,"4,000","1,828",1920,1,A1,"749,000",2/28/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,12,A2,1,0,1,"6,000","1,736",1955,1,A2,"300,000",3/19/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,64,A1,1,0,1,"4,000","2,367",1920,1,A1,0,6/16/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16062,10,A1,1,0,1,"2,000","1,194",1940,1,A1,"300,000",5/25/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16065,41,A9,1,0,1,"2,012","1,116",1960,1,A9,"373,867",9/6/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,12,A1,1,0,1,"3,000","1,548",1920,1,A1,"650,000",2/27/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,52,A2,1,0,1,"2,300",920,1920,1,A2,"605,000",11/22/2023
ARVERNE,01 ONE FAMILY DWELLINGS,1,16081,23,A1,1,0,1,"3,000","2,102",1920,1,A1,0,3/21/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,68,B2,2,0,2,"3,376","2,460",2006,1,B2,"1,000",2/24/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,68,B2,2,0,2,"3,376","2,460",2006,1,B2,"590,000",4/26/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15835,61,B2,2,0,2,"3,431","2,715",2022,1,B2,"999,000",7/25/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15836,18,B2,2,0,2,"3,348","2,460",2006,1,B2,"521,344",3/31/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,70,B9,2,0,2,"4,481","2,160",1960,1,B9,0,8/10/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,70,B9,2,0,2,"4,481","2,160",1960,1,B9,"390,000",2/27/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15839,6,B2,2,0,2,951,"2,310",2005,1,B2,"585,494",3/22/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15902,1,B2,2,0,2,"2,775","2,386",1960,1,B2,"1,184,181",11/22/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15902,15,B1,2,0,2,"4,241","2,052",2000,1,B1,0,2/28/2023
ARVERNE,02 TWO FAMILY DWELLINGS,1,15904,25,B9,2,0,2,"2,364","1,729",1955,1,B9,0,2/6/2023
